['1', '肖申克的救赎', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg', '导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...1994 / 美国 / 犯罪剧情', '9.7', '3010199人评价', '希望让人自由。']
['2', '霸王别姬', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg', '导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...1993 / 中国大陆中国香港 / 剧情爱情同性', '9.6', '2224688人评价', '风华绝代。']
['3', '阿甘正传', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg', '导演:罗伯特·泽米吉斯RobertZemeckis   主演:汤姆·汉克斯TomHanks/...1994 / 美国 / 剧情爱情', '9.5', '2242792人评价', '一部美国近现代史。']
['4', '泰坦尼克号', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg', '导演:詹姆斯·卡梅隆JamesCameron   主演:莱昂纳多·迪卡普里奥Leonardo...1997 / 美国墨西哥 / 剧情爱情灾难', '9.5', '2281005人评价', '失去的才是永恒的。 ']
['5', '千与千寻', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg', '导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy...2001 / 日本 / 剧情动画奇幻', '9.4', '2328746人评价', '最好的宫崎骏，最好的久石让。 ']
['6', '这个杀手不太冷', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg', '导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔莉·波特曼...1994 / 法国美国 / 剧情动作犯罪', '9.4', '2372105人评价', '怪蜀黍和小萝莉不得不说的故事。']
['7', '美丽人生', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg', '导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...1997 / 意大利 / 剧情喜剧爱情战争', '9.5', '1373252人评价', '最美的谎言。']
['8', '星际穿越', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg', '导演:克里斯托弗·诺兰ChristopherNolan   主演:马修·麦康纳MatthewMc...2014 / 美国英国加拿大 / 剧情科幻冒险', '9.4', '1943829人评价', '爱是一种力量，让我们超越时空感知它的存在。']
['9', '盗梦空间', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg', '导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...2010 / 美国英国 / 剧情科幻悬疑冒险', '9.4', '2146292人评价', '诺兰给了我们一场无法盗取的梦。']
['10', '楚门的世界', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg', '导演:彼得·威尔PeterWeir   主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...1998 / 美国 / 剧情科幻', '9.4', '1799585人评价', '如果再也不能见到你，祝你早安，午安，晚安。']
['11', '辛德勒的名单', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg', '导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...1993 / 美国 / 剧情历史战争', '9.5', '1160399人评价', '拯救一个人，就是拯救整个世界。']
